,Unnamed: 0,DealerID,NewUsed,Year,Make,Model,ModelNumber,ExteriorColor,InteriorColor,EngineCylinders,Trim,Doors,Transmission,SellingPrice,MSRP,Miles,Certified,EPACity,EPAHighway,FuelType,DriveTrain,TransmissionDescription,EPA_Unit,Safety details,Finance,discounts and offers,address and contact details,Working hours and Days,Trade in and Exchange
47,47,2013,NEW,2023,Ram,1500,DT6X98,Bright White Clearcoat,Black,6,"Rebel 4x4 Crew Cab 5'7"" Box",4,Automatic,72217,73305,18,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
48,48,2013,NEW,2023,Ram,1500,DT6H98,Diamond Black Crystal Pearlcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,Automatic,54982,58070,8,FALSE,19,24,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
49,49,2013,NEW,2023,Jeep,Wrangler,JLJL74,High Velocity Clearcoat,Black,6,Sport 4 Door 4x4,4,Manual,45657,46245,5,FALSE,19,24,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
50,50,2013,NEW,2023,Jeep,Compass,MPJM74,Bright White Clearcoat,Black,4,Latitude 4x4,4,Automatic,33297,35885,13,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
51,51,2013,NEW,2023,Jeep,Compass,MPJM74,Bright White Clearcoat,Black,4,Latitude 4x4,4,Automatic,33297,35885,5,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
52,52,2013,NEW,2023,Jeep,Compass,MPJM74,Bright White Clearcoat,Black,4,Latitude 4x4,4,Automatic,33297,35885,7,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
53,53,2013,NEW,2023,Ram,2500,DJ7L62,Bright White Clearcoat,Black,8,Tradesman 4x4 Reg Cab 8' Box,2,Automatic,57180,57180,5,FALSE,0,0,Gasoline,Four Wheel Drive,8-Speed Automatic,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
54,54,2013,NEW,2023,Jeep,Grand Cherokee L,WLJT75,Bright White Clearcoat,Tupelo/Black,6,Summit Reserve 4x4,4,Automatic,74792,78380,15,FALSE,14,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
55,55,2013,NEW,2023,Jeep,Grand Cherokee 4xe,WLXR74,Baltic Gray Metallic Clearcoat,Global Black,4,Trailhawk 4x4,4,Automatic,66907,68995,14,FALSE,0,0,Hybrid,Four Wheel Drive,8-Speed Automatic,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
56,56,2013,NEW,2023,Jeep,Renegade,BVJM74,Alpine White Clearcoat,Black,4,Altitude 4x4,4,Automatic,33992,35030,11,FALSE,23,29,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
57,57,2013,NEW,2023,Ram,2500,DJ7X91,Olive Green Pearlcoat,Black,8,"Power Wagon 4x4 Crew Cab 6'4"" Box",4,Automatic,83250,83250,0,FALSE,0,0,Gasoline,Four Wheel Drive,8-Speed Automatic,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
58,58,2013,NEW,2023,Ram,ProMaster Cargo Van,VF2L13,Bright White Clearcoat,Black,6,"2500 High Roof 136"" WB",3,Automatic,54485,54485,0,FALSE,0,0,Gasoline,Front Wheel Drive,9-Speed 948TE Automatic,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
59,59,2013,NEW,2023,Ram,1500,DT6P98,Bright White Clearcoat,Black,6,"Laramie 4x4 Crew Cab 5'7"" Box",4,Automatic,64300,66300,5,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
60,60,2013,NEW,2023,Dodge,Durango,WDES75,Destroyer Gray Clearcoat,Black,8,R/T Plus AWD,4,Automatic,58687,61775,5,FALSE,14,22,Gasoline,All Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
61,61,2013,NEW,2023,Ram,2500,DJ7P81,Diamond Black Crystal Pearlcoat,Black,8,"Laramie 4x4 Mega Cab 6'4"" Box",4,Automatic,90035,90035,31,FALSE,0,0,Diesel,Four Wheel Drive,6-Speed Automatic,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
62,62,2013,NEW,2023,Jeep,Renegade,BVJM74,Alpine White Clearcoat,Black,4,Altitude 4x4,4,Automatic,36587,37625,12,FALSE,23,29,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
63,63,2013,NEW,2023,Ram,1500,DT6X98,Bright White Clearcoat,Black,6,"Rebel 4x4 Crew Cab 5'7"" Box",4,Automatic,62327,63415,14,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
64,64,2013,NEW,2023,Jeep,Compass,MPJM74,Diamond Black Crystal Pearlcoat,Black,4,Latitude 4x4,4,Automatic,33792,36380,12,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
65,65,2013,NEW,2023,Jeep,Grand Cherokee 4xe,WLXS74,Diamond Black Crystal Pearlcoat,Global Black,4,Overland 4x4,4,Automatic,70237,72325,0,FALSE,0,0,Hybrid,Four Wheel Drive,8-Speed Automatic,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
66,66,2013,NEW,2023,Ram,1500,DT6X98,Bright White Clearcoat,Black,6,"Rebel 4x4 Crew Cab 5'7"" Box",4,Automatic,65237,66325,7,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
67,67,2013,NEW,2023,Jeep,Compass,MPJM74,Bright White Clearcoat,Black,4,Latitude 4x4,4,Automatic,33297,35885,5,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
68,68,2013,NEW,2023,Ram,1500,DT6X98,Granite Crystal Metallic Clearcoat,Black,6,"Rebel 4x4 Crew Cab 5'7"" Box",4,Automatic,65487,66575,15,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
69,69,2013,NEW,2023,Jeep,Compass,MPJM74,Diamond Black Crystal Pearlcoat,Black,4,Latitude 4x4,4,Automatic,33792,36380,5,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
70,70,2013,USED,2022,Ram,1500,DT6H98,Bright White Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,Automatic,48714,54888,4618,FALSE,18,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
71,71,2013,USED,2020,Jeep,Compass,MPJP74,Jazz Blue Pearlcoat,Black,4,High Altitude 4x4,4,Automatic,25824,29888,37449,FALSE,22,30,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
72,72,2013,NEW,2023,Ram,1500,DT6M98,Diamond Black Crystal Pearlcoat,Black,8,"Limited 4x4 Crew Cab 5'7"" Box",4,Automatic,83772,84860,14,FALSE,21,29,Diesel,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
73,73,2013,NEW,2023,Jeep,Compass,MPJM74,Bright White Clearcoat,Black,4,Latitude 4x4,4,Automatic,33297,35885,5,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
74,74,2013,NEW,2023,Jeep,Wrangler,JLJP74,Earl Clearcoat,Black,4,Sahara Altitude 4 Door 4x4,4,Automatic,55577,56165,12,FALSE,21,24,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
